RowNumber,SendingPartnerErasmusID,HostingPartnerErasmusID,Weight
1,D  KOLN01,F  PARIS001,60
2,UK COVENTR02,E  MADRID18,59
3,NL BREUKEL01,UK LONDON062,53
4,D  MAINZ01,F  DIJON01,52
5,D  MUNSTER01,NL NIJMEGE01,50
6,D  BONN01,F  PARIS004,47
7,D  MAINZ01,E  VALENCI01,47
8,E  GRANADA01,I  BOLOGNA01,45
9,P  LEIRIA01,PL BIALYST01,44
10,I  BOLOGNA01,E  GRANADA01,43
11,UK LONDON017,D  BERLIN13,43
12,I  TORINO02,F  GRENOBL22,42
13,UK LONDON017,F  PARIS014,41
14,F  BORDEAU12,E  MADRID26,41
15,NL DELFT01,CH ZURICH07,40
16,TR ESKISEH01,PL POZNAN01,40
17,NL ROTTERD01,I  MILANO04,40
18,E  BARCELO01,I  BOLOGNA01,39
19,HR ZAGREB01,SI LJUBLJA01,39
20,F  PARIS213,D  ISERLOH02,39
21,E  MADRID05,D  MUNCHEN02,38
22,D  MUNCHEN02,S  STOCKHO04,38
23,E  MADRID05,UK CRANFIE01,38
24,F  NANCY43,S  LULEA01,37
25,E  VALENCI01,I  BOLOGNA01,37
26,D  AACHEN01,N  TRONDHE01,37
27,I  MILANO02,E  VALENCI02,37
28,D  REUTLIN02,F  REIMS06,36
29,G  KRITIS04,CZ BRNO01,36
30,F  ANGERS08,NL WAGENIN01,36
31,F  NANTES01,UK CARDIFF01,36
32,F  GRENOBL22,S  STOCKHO04,36
33,E  GRANADA01,P  COIMBRA01,35
34,SK BRATISL02,CZ PRAHA07,35
35,I  PALERMO01,E  LA-CORU01,34
36,I  FIRENZE01,E  GRANADA01,33
37,I  MILANO02,E  BARCELO03,33
38,I  ROMA01,E  SEVILLA01,33
39,I  MILANO04,F  PARIS014,33
40,UK CANTERB01,F  LILLE02,33
41,D  KARLSRU01,S  STOCKHO04,33
42,I  TORINO02,IRLATHLONE01,33
43,F  PARIS014,UK LONDON017,32
44,F  ST-JEAN01,UK PLYMOUT01,32
45,E  GRANADA01,I  FIRENZE01,31
