"RowNumber","Institutional code","Name of Organisation","Country","City"
"1","A  BADEN01","PAEDAGOGISCHE HOCHSCHULE NIEDEROESTERREICH","AT","Baden"
"2","A  DORNBIR01","FACHHOCHSCHULE VORARLBERG GMBH","AT","Dornbirn"
"3","A  EISENST01","STIFTUNG PRIVATE PÄDAGOGISCHE HOCHSCHULE BURGENLAND","AT","Eisenstadt"
"4","A  EISENST02","Fachhochschulstudiengaenge Burgenland Gesellschaft m.b.H","AT","Eisenstadt"
"5","A  EISENST05","JOSEPH HAYDN KONSERVATORIUM DES LANDES BURGENLAND","AT","Eisenstadt"
"6","A  FELDKIR01","PAEDAGOGISCHE HOCHSCHULE VORARLBERG","AT","Feldkirch"
"7","A  FELDKIR03","VORARLBERGER LANDESKONSERVATORIUM GMBH","AT","Feldkirch"
"8","A  GRAZ01","KARL-FRANZENS-UNIVERSITAET GRAZ","AT","Graz"
"9","A  GRAZ02","TECHNISCHE UNIVERSITAET GRAZ ","AT","Graz"
"10","A  GRAZ03","UNIVERSITAT FUR MUSIK UND DARSTELLENDE KUNST GRAZ","AT","Graz"
"11","A  GRAZ04","PAEDAGOGISCHE HOCHSCHULE STEIERMARK","AT","GRAZ"
"12","A  GRAZ08","KIRCHLICHE PAEDAGOGISCHE HOCHSCHULE DER DIOEZESE GRAZ-SECKAU","AT","Graz"
"13","A  GRAZ09","FH JOANNEUM GESELLSCHAFT MBH","AT","Graz"
"14","A  GRAZ10","CAMPUS 02 FACHHOCHSCHULE DER WIRTSCHAFT GMBH","AT","Graz"
"15","A  GRAZ23","MEDIZINISCHE UNIVERSITÄT GRAZ","AT","GRAZ"
"16","A  INNSBRU01","LEOPOLD-FRANZENS-UNIVERSITÄT INNSBRUCK ","AT","Innsbruck"
"17","A  INNSBRU03","PAEDAGOGISCHE HOCHSCHULE TIROL","AT","INNSBRUCK"
"18","A  INNSBRU08","MANAGEMENT CENTER INNSBRUCK ","AT","INNSBRUCK"
"19","A  INNSBRU09","KIRCHLICHE PÄDAGOGISCHE HOCHSCHULE - EDITH STEIN (KPH-ES)","AT","INNSBRUCK"
"20","A  INNSBRU20","PRIVATE UNIVERSITAET FUER GESUNDHEITSWISSENSCHAFTEN, MEDIZINISCHE INFORMATIK UND TECHNIK (UMIT)","AT","HALL "
"21","A  INNSBRU21","MEDIZINISCHE UNIVERSITAET INNSBRUCK","AT","INNSBRUCK"
"22","A  INNSBRU23","FHG - ZENTRUM FÜR GESUNDHEITSBERUFE TIROL GMBH","AT","INNSBRUCK"
"23","A  KLAGENF01","UNIVERSITÄT KLAGENFURT","AT","Klagenfurt"
"24","A  KLAGENF02","PÄDAGOGISCHE HOCHSCHULE KÄRNTEN, VIKTOR FRANKL HOCHSCHULE","AT","KLAGENFURT "
"25","A  KLAGENF06","KÄRNTNER LANDESKONSERVATORIUM","AT","KLAGENFURT"
