"RowNumber","SubjectAreaCode","SubjectAreaName","Importance"
"1","222","Foreign languages","27531"
"2","340","Business and administration (broad programmes)","20924"
"3","34","Business and administration","19741"
"4","52","Engineering and engineering trades","10353"
"5","314","Economics","9616"
"6","313","Political science and civics","7597"
"7","38","Law","7314"
"8","380","Law","6916"
"9","721","Medicine","6900"
"10","22","Humanities","5786"
"11","581","Architecture and town planning","5664"
"12","345","Management and administration","5013"
"13","58","Architecture and building","4363"
"14","311","Psychology","4246"
"15","421","Biology and biochemistry","4180"
"16","812","Travel, tourism and leisure","3894"
"17","521","Mechanics and metal work","3872"
"18","214","Design","3705"
"19","32","Journalism and information","3660"
"20","481","Computer science","3559"
"21","223","Mother tongue","3348"
"22","225","History and archeology","3211"
"23","582","Building and civil engineering","3002"
"24","723","Nursing and caring","2969"
"25","31","Social and behavioural science","2893"
"26","342","Marketing and advertising","2863"
"27","443","Earth science","2805"
"28","99","Not known or unspecified","2746"
"29","14","Teacher training and education science","2673"
"30","520","Engineering and engineering trades (broad programmes)","2618"
"31","21","Arts","2554"
"32","212","Music and performing arts","2499"
"33","811","Hotel, restaurant and catering","2494"
"34","442","Chemistry","2413"
"35","312","Sociology and cultural studies","2375"
"36","523","Electronics and automation","2232"
"37","3","Social sciences, Business and Law","2177"
"38","72","Health","2095"
"39","813","Sports","2033"
"40","211","Fine arts","2029"
"41","727","Pharmacy","1947"
"42","349","Business and administration (others)","1867"
"43","48","Computing","1847"
"44","522","Electricity and energy","1764"
"45","529","Engineering and engineering trades (others)","1760"
"46","213","Audio-visual techniques and media production","1728"
"47","441","Physics","1566"
"48","5","Engineering, Manufacturing and Construction","1506"
"49","762","Social work and counselling","1463"
"50","140","Teacher training and education science (broad programmes)","1212"
"51","220","Humanities (broad programmes)","1208"
"52","343","Finance, banking, insurance","1168"
"53","726","Therapy and rehabilitation","1162"
"54","461","Mathematics","1126"
"55","226","Philosophy and ethics","1103"
"56","4","Science, Mathematics and Computing","1102"
"57","524","Chemical and process","1093"
"58","62","Agriculture, forestry and fishery","1087"
"59","1","Education","1074"
"60","142","Education science","1058"
"61","422","Environmental science","1017"
"62","42","Life science","1016"
"63","321","Journalism and reporting","982"
"64","541","Food processing","901"
"65","145","Training for teachers with subject specialisation","868"
"66","344","Accounting and taxation","866"
"67","310","Social and behavioural science (broad programmes)","838"
"68","640","Veterinary","831"
"69","525","Motor vehicles, ships and aircraft","830"
"70","620","Agriculture, forestry and fishery (broad programmes)","798"
"71","144","Training for teachers at basic levels","754"
"72","2","Humanities and Arts","677"
"73","720","Health (broad programmes)","625"
"74","6","Agriculture and Veterinary","625"
"75","210","Arts (broad programmes)","617"
"76","329","Journalism and information (others)","608"
"77","724","Dental studies","551"
"78","729","Health (others)","533"
"79","221","Religion","529"
"80","46","Mathematics and statistics","522"
"81","346","Secretarial and office work","518"
"82","725","Medical diagnostic and treatment technology","502"
"83","219","Arts (others)","501"
"84","64","Veterinary","486"
"85","54","Manufacturing and processing","477"
"86","840","Transport services","460"
"87","623","Forestry","452"
"88","143","Training for pre-school teachers","419"
"89","489","Computing (others)","415"
"90","76","Social services","404"
"91","543","Materials (wood, paper, plastic, glass)","385"
"92","542","Textiles, clothes, footwear, leather","381"
"93","44","Physical science","372"
"94","341","Wholesale and retail sales","364"
"95","141","Teaching and training","361"
"96","347","Working life","352"
"97","319","Social and behavioural science (others)","348"
"98","149","Teacher training and education science (others)","341"
"99","589","Architecture and building (others)","339"
"100","322","Library, information, archive","302"
"101","81","Personal services","291"
"102","0","General Programmes","284"
"103","429","Life science (others)","278"
"104","84","Transport services","245"
"105","761","Child care and youth services","244"
"106","622","Horticulture","239"
"107","540","Manufacturing and processing (broad programmes)","222"
"108","462","Statistics","213"
"109","629","Agriculture, forestry and fishery (others)","208"
"110","85","Environmental protection","186"
"111","863","Military and defence","184"
"112","7","Health and Welfare","173"
"113","9","Not known or unspecified","139"
"114","621","Crop and livestock production","138"
"115","440","Physical science (broad programmes)","126"
"116","851","Environmental protection technology","125"
"117","850","Environmental protection (broad programmes)","94"
"118","815","Hair and beauty services","86"
"119","544","Mining and extraction","84"
"120","624","Fisheries","84"
"121","860","Security services (broad programmes)","83"
"122","449","Physical science (others)","82"
"123","8","Services","75"
"124","469","Mathematics (others)","74"
"125","146","Training for teachers of vocational subjects","69"
"126","482","Computer use","69"
"127","769","Social services (others)","67"
"128","215","Craft skills","61"
"129","549","Manufacturing and processing (other)","53"
"130","814","Domestic services","49"
"131","86","Security services","44"
"132","10","Basic/broad, general programmes","38"
"133","852","Natural environments and wildlife","32"
"134","869","Security services (others)","30"
"135","861","Protection of persons and property","29"
"136","9","Personal skills","26"
"137","862","Occupational health and safety","24"
"138","819","Personal services (others)","18"
"139","859","Environmental protection (others)","18"
"140","810","Personal services (broad programmes)","17"
"141","90","Personal skills","15"
"142","853","Community sanitation services","8"
"143","1","Basic/broad, general programmes","2"
